track	panel	ancestry	chr	concordance
NATMXB	NAT_HGDPMXB	EUR	20	0.9889878106245127
NATMXB	NAT_HGDPMXB	EUR	21	0.9802783863068205
NATMXB	NAT_HGDPMXB	EUR	22	0.9900447387561384
NATMXB	NAT_HGDPMXB	NAT	1	0.9577990460134389
NATMXB	NAT_HGDPMXB	NAT	20	0.9297502093848002
NATMXB	NAT_HGDPMXB	NAT	21	0.9570211596109744
NATMXB	NAT_HGDPMXB	NAT	22	0.9438198773029481
NATMXB	NAT_PEL	AFR	1	0
NATMXB	NAT_PEL	AFR	20	0.9890690497948409
NATMXB	NAT_PEL	AFR	21	0.9809840383690459
NATMXB	NAT_PEL	AFR	22	0.9811413026244322
NATMXB	NAT_PEL	EUR	1	0.997505185701402
NATMXB	NAT_PEL	EUR	20	0.9875920282060932
NATMXB	NAT_PEL	EUR	21	0.9789096968678219
NATMXB	NAT_PEL	EUR	22	0.9882421755311503
NATMXB	NAT_PEL	NAT	1	0.9508101602177073
NATMXB	NAT_PEL	NAT	20	0.9266948958635023
NATMXB	NAT_PEL	NAT	21	0.9417309231057049
NATMXB	NAT_PEL	NAT	22	0.9258509749325705
NATMXB	NAT_PEL_EAS	AFR	20	0.9913864709719683
NATMXB	NAT_PEL_EAS	AFR	21	0.9929155560350188
NATMXB	NAT_PEL_EAS	AFR	22	0.987785368567034
NATMXB	NAT_PEL_EAS	EUR	20	0.9828126556430873
NATMXB	NAT_PEL_EAS	EUR	21	0.9727802797361199
NATMXB	NAT_PEL_EAS	EUR	22	0.9843568716664614
NATMXB	NAT_PEL_EAS	NAT	20	0.9126198146357134
NATMXB	NAT_PEL_EAS	NAT	21	0.9505338869092529
NATMXB	NAT_PEL_EAS	NAT	22	0.930625742279108
