track	panel	chr	hap	sample	ancestry	n_sites	n_correct	concordance
NAT	NAT_PEL_EAS	20	6	sim_003	EUR	5416	5004	0.9239290989660266
NAT	NAT_PEL_EAS	20	6	sim_003	AFR	4065	4014	0.9874538745387453
NAT	NAT_PEL_EAS	20	7	sim_004	NAT	1471	1450	0.9857239972807614
NAT	NAT_PEL_EAS	20	7	sim_004	EUR	7529	7374	0.9794129366449728
NAT	NAT_PEL_EAS	20	7	sim_004	AFR	481	481	1
NAT	NAT_PEL_EAS	20	8	sim_004	NAT	2350	1307	0.5561702127659575
NAT	NAT_PEL_EAS	20	8	sim_004	EUR	7131	7007	0.9826111344832422
NAT	NAT_PEL_EAS	20	9	sim_005	NAT	169	97	0.5739644970414202
NAT	NAT_PEL_EAS	20	9	sim_005	EUR	8611	8189	0.9509929160376263
NAT	NAT_PEL_EAS	20	9	sim_005	AFR	701	697	0.9942938659058488
NAT	NAT_PEL_EAS	20	10	sim_005	NAT	1982	1935	0.9762865792129163
NAT	NAT_PEL_EAS	20	10	sim_005	EUR	5651	5333	0.943726774022297
NAT	NAT_PEL_EAS	20	10	sim_005	AFR	1848	1601	0.8663419913419913
NAT	NAT_PEL_EAS	20	11	sim_006	EUR	7075	6720	0.9498233215547703
NAT	NAT_PEL_EAS	20	11	sim_006	AFR	2406	2390	0.9933499584372403
NAT	NAT_PEL_EAS	20	12	sim_006	NAT	2321	1971	0.8492029297716501
NAT	NAT_PEL_EAS	20	12	sim_006	EUR	6543	6514	0.9955677823628305
NAT	NAT_PEL_EAS	20	12	sim_006	AFR	617	617	1
NAT	NAT_PEL_EAS	20	13	sim_007	NAT	6990	6990	1
NAT	NAT_PEL_EAS	20	13	sim_007	EUR	1068	1028	0.9625468164794008
NAT	NAT_PEL_EAS	20	13	sim_007	AFR	1423	1400	0.9838369641602249
NAT	NAT_PEL_EAS	20	14	sim_007	EUR	9053	8894	0.9824367612945984
NAT	NAT_PEL_EAS	20	14	sim_007	AFR	428	428	1
NAT	NAT_PEL_EAS	20	15	sim_008	NAT	738	712	0.964769647696477
NAT	NAT_PEL_EAS	20	15	sim_008	EUR	7770	7605	0.9787644787644788
NAT	NAT_PEL_EAS	20	15	sim_008	AFR	973	951	0.9773895169578622
NAT	NAT_PEL_EAS	20	16	sim_008	EUR	7561	7278	0.9625710884803598
NAT	NAT_PEL_EAS	20	16	sim_008	AFR	1920	1834	0.9552083333333333
NAT	NAT_PEL_EAS	20	17	sim_009	NAT	209	0	0
NAT	NAT_PEL_EAS	20	17	sim_009	EUR	1534	1485	0.9680573663624511
NAT	NAT_PEL_EAS	20	17	sim_009	AFR	7738	7695	0.9944430085293358
NAT	NAT_PEL_EAS	20	18	sim_009	NAT	2921	1540	0.5272167066073262
NAT	NAT_PEL_EAS	20	18	sim_009	EUR	5431	5409	0.9959491806297183
NAT	NAT_PEL_EAS	20	18	sim_009	AFR	1129	1129	1
NAT	NAT_PEL_EAS	20	19	sim_010	NAT	934	857	0.917558886509636
NAT	NAT_PEL_EAS	20	19	sim_010	EUR	6724	6634	0.9866151100535395
NAT	NAT_PEL_EAS	20	19	sim_010	AFR	1823	1735	0.9517279210093252
NAT	NAT_PEL_EAS	20	20	sim_010	NAT	2357	2198	0.9325413661434027
NAT	NAT_PEL_EAS	20	20	sim_010	EUR	6481	6331	0.9768554235457491
NAT	NAT_PEL_EAS	20	20	sim_010	AFR	643	643	1
NAT	NAT_PEL_EAS	20	21	sim_011	NAT	3396	3396	1
NAT	NAT_PEL_EAS	20	21	sim_011	EUR	5520	5327	0.965036231884058
NAT	NAT_PEL_EAS	20	21	sim_011	AFR	565	560	0.9911504424778761
NAT	NAT_PEL_EAS	20	22	sim_011	NAT	1070	661	0.6177570093457944
NAT	NAT_PEL_EAS	20	22	sim_011	EUR	6029	5925	0.9827500414662464
NAT	NAT_PEL_EAS	20	22	sim_011	AFR	2382	2359	0.9903442485306465
NAT	NAT_PEL_EAS	20	23	sim_012	NAT	1030	970	0.941747572815534
NAT	NAT_PEL_EAS	20	23	sim_012	EUR	5945	5577	0.9380992430613961
NAT	NAT_PEL_EAS	20	23	sim_012	AFR	2506	2501	0.9980047885075818
NAT	NAT_PEL_EAS	20	24	sim_012	NAT	1579	1450	0.9183027232425586
NAT	NAT_PEL_EAS	20	24	sim_012	EUR	6622	6456	0.9749320446994866
NAT	NAT_PEL_EAS	20	24	sim_012	AFR	1280	1211	0.94609375
NAT	NAT_PEL_EAS	20	25	sim_013	NAT	1895	1870	0.9868073878627969
NAT	NAT_PEL_EAS	20	25	sim_013	EUR	4536	4442	0.9792768959435626
NAT	NAT_PEL_EAS	20	25	sim_013	AFR	3050	2946	0.9659016393442623
NAT	NAT_PEL_EAS	20	26	sim_013	EUR	6834	6691	0.9790752121744221
NAT	NAT_PEL_EAS	20	26	sim_013	AFR	2647	2603	0.9833774083868531
NAT	NAT_PEL_EAS	20	27	sim_014	NAT	118	0	0
NAT	NAT_PEL_EAS	20	27	sim_014	EUR	9363	9216	0.9842999038769625
NAT	NAT_PEL_EAS	20	28	sim_014	NAT	342	340	0.9941520467836257
NAT	NAT_PEL_EAS	20	28	sim_014	EUR	7580	7156	0.9440633245382586
NAT	NAT_PEL_EAS	20	28	sim_014	AFR	1559	1514	0.9711353431686979
NAT	NAT_PEL_EAS	20	29	sim_015	EUR	5017	4877	0.9720948774167829
NAT	NAT_PEL_EAS	20	29	sim_015	AFR	4464	4346	0.9735663082437276
NAT	NAT_PEL_EAS	20	30	sim_015	NAT	718	718	1
NAT	NAT_PEL_EAS	20	30	sim_015	EUR	5652	5631	0.9962845010615711
NAT	NAT_PEL_EAS	20	30	sim_015	AFR	3111	2999	0.9639987142397943
NAT	NAT_PEL_EAS	20	31	sim_016	NAT	165	0	0
NAT	NAT_PEL_EAS	20	31	sim_016	EUR	5481	5040	0.9195402298850575
NAT	NAT_PEL_EAS	20	31	sim_016	AFR	3835	3747	0.9770534550195568
NAT	NAT_PEL_EAS	20	32	sim_016	NAT	111	0	0
NAT	NAT_PEL_EAS	20	32	sim_016	EUR	8136	7926	0.974188790560472
NAT	NAT_PEL_EAS	20	32	sim_016	AFR	1234	1116	0.9043760129659644
NAT	NAT_PEL_EAS	20	33	sim_017	NAT	419	354	0.8448687350835322
NAT	NAT_PEL_EAS	20	33	sim_017	EUR	4708	4594	0.975785896346644
NAT	NAT_PEL_EAS	20	33	sim_017	AFR	4354	4292	0.9857602204869086
NAT	NAT_PEL_EAS	20	34	sim_017	NAT	1617	1419	0.8775510204081632
NAT	NAT_PEL_EAS	20	34	sim_017	EUR	7225	6776	0.9378546712802768
NAT	NAT_PEL_EAS	20	34	sim_017	AFR	639	630	0.9859154929577465
NAT	NAT_PEL_EAS	20	35	sim_018	NAT	239	239	1
NAT	NAT_PEL_EAS	20	35	sim_018	EUR	6909	6471	0.9366044290056448
NAT	NAT_PEL_EAS	20	35	sim_018	AFR	2333	2313	0.9914273467638234
NAT	NAT_PEL_EAS	20	36	sim_018	NAT	260	0	0
NAT	NAT_PEL_EAS	20	36	sim_018	EUR	3751	3196	0.852039456145028
NAT	NAT_PEL_EAS	20	36	sim_018	AFR	5470	5463	0.9987202925045704
NAT	NAT_PEL_EAS	20	37	sim_019	NAT	751	631	0.8402130492676432
NAT	NAT_PEL_EAS	20	37	sim_019	EUR	5603	5569	0.9939318222380867
NAT	NAT_PEL_EAS	20	37	sim_019	AFR	3127	3095	0.9897665494083786
